,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Meta_NP,Meta_VP,Meta_NUsers,Meta_VUsers,test_note_JVC,avis_count_JVC,avis_note_JVC,Classification_Age_JVC,Support_JVC,langue_parlée_JVC,texte_JVC
3199,NASCAR 06: Total Team Control,PS2,2005.0,Racing,Electronic Arts,0.53,0.02,0.0,0.09,0.63,78.0,18.0,7.6,20.0,11.0,0.0,15.0,3.0,CD,français,français
3200,Tony Hawk's Project 8,PS3,2006.0,Sports,Activision,0.3,0.23,0.01,0.1,0.63,76.0,43.0,6.7,26.0,16.0,18.0,15.8,16.0,Autre,français,français
3201,Dogz,GBA,2004.0,Simulation,Ubisoft,0.45,0.17,0.0,0.01,0.63,48.0,9.0,6.3,13.0,10.0,6.0,16.2,3.0,Cartouche,français,français
3202,Disney Universe,PS3,2011.0,Action,Disney Interactive Studios,0.3,0.23,0.0,0.09,0.63,70.0,29.0,7.2,17.0,11.0,22.0,13.1,7.0,Blu-Ray,français,français
3203,Guitar Hero: Metallica,PS3,2009.0,Misc,Activision,0.28,0.24,0.0,0.1,0.63,86.0,44.0,8.1,60.0,14.0,76.0,17.7,12.0,Blu-Ray,français,français
3204,Iron Man,PSP,2008.0,Action,Sega,0.46,0.09,0.0,0.09,0.63,44.0,7.0,6.3,18.0,6.0,16.0,9.6,12.0,UMD,français,français
3206,Harry Potter and the Half-Blood Prince,DS,2009.0,Action,Electronic Arts,0.21,0.35,0.0,0.07,0.63,48.0,9.0,4.8,8.0,7.0,56.0,11.2,12.0,Cartouche,français,français
3209,DJ Hero 2,Wii,2010.0,Misc,Activision,0.49,0.09,0.0,0.04,0.63,88.0,20.0,7.4,24.0,17.0,13.0,16.5,12.0,DVD,français,français
3210,Angry Birds Trilogy,3DS,2012.0,Action,Activision,0.38,0.2,0.0,0.05,0.63,62.0,7.0,5.4,30.0,11.0,14.0,13.2,3.0,Autre,français,français
3211,Condemned 2: Bloodshot,X360,2008.0,Action,Sega,0.38,0.19,0.0,0.06,0.63,80.0,76.0,8.4,205.0,14.0,92.0,15.6,18.0,Blu-Ray DVD,anglais,français
3214,Just Dance 3,PS3,2011.0,Misc,Ubisoft,0.33,0.21,0.0,0.09,0.63,75.0,5.0,5.4,10.0,15.0,22.0,15.0,3.0,Blu-Ray,français,français
3215,Call of Duty: Black Ops,DS,2010.0,Shooter,Activision,0.54,0.05,0.0,0.04,0.63,74.0,13.0,6.4,60.0,11.0,1.0,1.0,3.0,Autre,français,français
3216,God of War III,PS4,2015.0,Action,Sony Computer Entertainment,0.23,0.29,0.01,0.1,0.63,81.0,67.0,8.3,1506.0,18.0,63.0,16.5,3.0,PlayStation Store,français,français
3217,Ape Escape 2,PS2,2002.0,Platform,Sony Computer Entertainment,0.12,0.09,0.38,0.03,0.63,82.0,31.0,8.4,55.0,15.0,19.0,17.2,3.0,DVD,français,français
3218,Metroid Prime: Trilogy,Wii,2009.0,Shooter,Nintendo,0.43,0.05,0.0,0.14,0.63,91.0,48.0,9.0,471.0,16.0,232.0,18.3,12.0,DVD,français,français
3222,The Sims 3: Generations,PC,2011.0,Simulation,Electronic Arts,0.4,0.23,0.0,0.0,0.63,70.0,22.0,3.9,91.0,16.0,152.0,16.2,3.0,Autre,français,français
3223,The Crew,XOne,2014.0,Racing,Ubisoft,0.24,0.34,0.0,0.05,0.63,64.0,18.0,5.7,197.0,14.0,142.0,14.3,12.0,Autre,français,français
3225,Dragon Quest Monsters Joker 3,3DS,2016.0,Role-Playing,Square Enix,0.0,0.0,0.63,0.0,0.63,75.0,30.0,7.4,34.0,11.0,0.0,15.0,3.0,Autre,français,français
3227,Shin Megami Tensei: Persona 3 FES,PS2,2007.0,Role-Playing,Tecmo Koei,0.22,0.2,0.16,0.05,0.63,89.0,25.0,7.8,843.0,17.0,38.0,17.8,16.0,DVD,anglais,anglais
